artists,name,album
Noel Gallagher's High Flying Birds,Holy Mountain,Who Built The Moon?
Noel Gallagher's High Flying Birds,If I Had A Gun...,Noel Gallagher's High Flying Birds
New Order,Bizarre Love Triangle - 2015 Remaster,Brotherhood
New Order,Shellshock,The Best of New Order
New Order,True Faith - 2015 Remaster,Singles (2016 Remaster)
New Order,The Perfect Kiss - 2015 Remaster,Low-Life
New Order,Thieves like Us,The Best of New Order
New Order,Temptation,TOTAL
New Order,Blue Monday - 2011 Total Version,TOTAL
Mumford & Sons,Babel,Babel
Mumford & Sons,I Will Wait,Babel
MGMT,Kids,Oracular Spectacular
MGMT,Time to Pretend,Oracular Spectacular
MGMT,Electric Feel,Oracular Spectacular
Manic Street Preachers,Australia - Remastered Version,Everything Must Go 10th Anniversary Edition
Kings of Leon,The Bucket,Aha Shake Heartbreak
Kings of Leon,Use Somebody,Only By The Night
Kings of Leon,Sex on Fire,Only By The Night
Kansas,Carry on Wayward Son,Leftoverture (Expanded Edition)
Joy Division,Love Will Tear Us Apart,The Best Of
Journey,Any Way You Want It,Departure
Journey,Don't Stop Believin',Escape (Bonus Track Version)
Jefferson Airplane,Somebody to Love,Surrealistic Pillow
Jason Mraz,The Remedy (I Won't Worry),Waiting for My Rocket to Come
Jason Mraz,I'm Yours,We Sing. We Dance. We Steal Things. (Bonus Tracks Version)
The Coral,In the Morning,The Invisible Invasion
The Coral,Dreaming of You,The Coral
The Clash,I Fought the Law,Hits Back
The Clash,London Calling - Remastered,London Calling (Remastered)
The Clash,Should I Stay or Should I Go - Remastered,Combat Rock (Remastered)
The Clash,Rock the Casbah - Remastered,Combat Rock (Remastered)
Buzzcocks,Ever Fallen in Love (With Someone You Shouldn't've)?,I Don't Mind The Buzzcocks
The Blizzards,Domino Effect,Domino Effect
The Blizzards,Three Cheers For Modern Medicine,Domino Effect
The Blizzards,Trust Me I'm A Doctor,Domino Effect
The Blizzards,Money Dosen't Buy You Class,Domino Effect
The Blizzards,Buy It Sell It,Domino Effect
Stevie Wonder,Higher Ground,Innervisions (Reissue)
Stevie Wonder,Sir Duke,Songs In The Key Of Life (Reissue)
Stevie Wonder,Superstition - Single Version,Number Ones
Steve Harley, Steve Harley & Cockney Rebel,Make Me Smile (Come up and See Me) - 2014 Remaster,The Best Years of Our Lives (Deluxe Version)
Stereophonics,Pick A Part That's New,Performance And Cocktails
Stereophonics,The Bartender And The Thief,Performance And Cocktails
Stereophonics,Dakota,Language.Sex.Violence.Other?
Reel Big Fish,Beer,Everything Sucks
Red Hot Chili Peppers,Wet Sand,Stadium Arcadium
Red Hot Chili Peppers,Snow (Hey Oh),Stadium Arcadium
Red Hot Chili Peppers,Dani California,Stadium Arcadium
Red Hot Chili Peppers,By the Way,By the Way
Red Hot Chili Peppers,The Zephyr Song,By the Way
Red Hot Chili Peppers,Can't Stop,By the Way
Red Hot Chili Peppers,Cabron,By the Way
Red Hot Chili Peppers,On Mercury,By the Way
Red Hot Chili Peppers,Otherside,Californication
Red Hot Chili Peppers,Give It Away,Blood Sugar Sex Magik (Deluxe Edition)
Razorlight,America,Razorlight
Razorlight,Golden Touch - Full Length,Up All Night
Radiohead,Just,The Bends
Radiohead,Creep,Pablo Honey
R.E.M.,Man On The Moon,Automatic For The People
R.E.M.,The Sidewinder Sleeps Tonite,Automatic For The People
R.E.M.,Losing My Religion,Out Of Time
R.E.M.,The One I Love,Document (R.E.M. No. 5)
R.E.M.,It's The End Of The World As We Know It (And I Feel Fine),Document (R.E.M. No. 5)
The Kooks,She Moves In Her Own Way,Inside In / Inside Out
The Kooks,Naive,Inside In / Inside Out
The Kinks,You Really Got Me,Kinks (Deluxe)
The Kinks,All Day and All of the Night,Kinks (Deluxe)
The Killers,Read My Mind,Sam's Town
The Killers,Mr. Brightside,Hot Fuss
The Jam,That's Entertainment,The Very Best Of The Jam
The Jam,Beat Surrender,The Very Best Of The Jam
The Jam,The Bitterest Pill (I Ever Had To Swallow),The Very Best Of The Jam
The Jam,Down In The Tube Station At Midnight - Single Version,The Very Best Of The Jam
The Jam,Town Called Malice,The Very Best Of The Jam
The Jam,Going Underground,The Very Best Of The Jam
The Housemartins,Happy Hour,London 0 Hull 4
The Farm,All Together Now,Spartacus
Doves,Words,The Last Broadcast
Doves,There Goes The Fear,The Last Broadcast
Doves,Pounding,The Last Broadcast
The Doors,Break on Through (To the Other Side),The Doors
The Divine Comedy,National Express,Fin de Siecle
The Cure,Friday I'm In Love,Wish
The Cult,She Sells Sanctuary (2009 Re-master),Love (Expanded Edition)
The Libertines,What Became of the Likely Lads,The Libertines
The Libertines,What Katie Did,The Libertines
The Libertines,Music When The Lights Go Out,The Libertines
The Libertines,The Man Who Would Be King,The Libertines
The Libertines,Can't Stand Me Now,The Libertines
The Libertines,Last Post on the Bugle,The Libertines
The Libertines,Vertigo,Up The Bracket
The Libertines,Death On The Stairs,Up The Bracket
The Libertines,Horror Show,Up The Bracket
The Libertines,Time For Heroes,Up The Bracket
The Libertines,Boys In The Band,Up The Bracket
The Libertines,Radio America,Up The Bracket
The Libertines,Up The Bracket,Up The Bracket
The Libertines,Tell The King,Up The Bracket
The Libertines,The Boy Looked At Johnny,Up The Bracket
The Libertines,Begging,Up The Bracket
The Libertines,The Good Old Days,Up The Bracket
The Libertines,I Get Along,Up The Bracket
The Rolling Stones,Brown Sugar,Sticky Fingers (Deluxe)
The Rolling Stones,Paint It Black,Aftermath (Remastered)
The Rolling Stones,Gimme Shelter,Let It Bleed
The Proclaimers,I'm Gonna Be (500 Miles),Finest
Pixies,Where Is My Mind?,Surfer Rosa (Remastered)
The Strokes,New York City Cops,Is This It
The Strokes,Someday,Is This It
The Strokes,Last Nite,Is This It
The Strokes,Reptilia,Room On Fire
The Stranglers,No More Heroes - 1996 Remaster,No More Heroes
The Stranglers,Peaches - 1996 Remaster,Rattus Norvegicus
The Stranglers,Golden Brown,La Folie
The Stone Roses,All Across the Sands,The Complete Stone Roses
The Stone Roses,So Young,The Complete Stone Roses
The Stone Roses,The Hardest Thing In the World - Remastered,Turns Into Stone
The Stone Roses,Going Down - Remastered,Turns Into Stone
The Stone Roses,Mersey Paradise - Remastered,Turns Into Stone
The Stone Roses,Standing Here - Remastered,Turns Into Stone
The Stone Roses,What the World Is Waiting For - Remastered,Turns Into Stone
The Stone Roses,One Love - Full Length - Remastered,Turns Into Stone
The Stone Roses,Driving South,Second Coming
The Stone Roses,Daybreak,Second Coming
The Stone Roses,Good Times,Second Coming
The Stone Roses,Love Spreads,Second Coming
The Stone Roses,I Wanna Be Adored - Remastered 2009,The Stone Roses
The Stone Roses,She Bangs the Drums - Remastered 2009,The Stone Roses
The Stone Roses,Waterfall - Remastered 2009,The Stone Roses
The Stone Roses,Bye Bye Bad Man - Remastered 2009,The Stone Roses
The Stone Roses,(Song for My) Sugar Spun Sister - Remastered 2009,The Stone Roses
The Stone Roses,Made of Stone - Remastered 2009,The Stone Roses
The Stone Roses,Shoot You Down - Remastered 2009,The Stone Roses
The Stone Roses,This Is the One - Remastered 2009,The Stone Roses
The Stone Roses,I Am the Resurrection - Remastered 2009,The Stone Roses
The Stone Roses,Fools Gold - Remastered 2009,The Stone Roses
Primal Scream,Loaded - Edit,Dirty Hits - Limited Edition
The Charlatans,The Only One I Know,Some Friendly
Van Morrison,Brown Eyed Girl,Blowin' Your Mind!
Tom Petty and the Heartbreakers,American Girl,Tom Petty & The Heartbreakers
Thin Lizzy,Dancing In The Moonlight (It's Caught Me In It's Spotlight),Greatest Hits
The Who,Baba O'Riley,Who's Next (Deluxe Edition)
The White Stripes,Hotel Yorba,White Blood Cells
The White Stripes,Fell In Love With a Girl,White Blood Cells
The White Stripes,Seven Nation Army,Elephant
The Verve,Bitter Sweet Symphony,Urban Hymns (Remastered 2016)
The Undertones,Teenage Kicks,The Anthology
The Bluetones,Slight Return,Expecting To Fly
Oasis,Going Nowhere,The Masterplan
Modest Mouse,Float On,Good News For People Who Love Bad News
Courteeners,Modern Love,Mapping The Rendezvous
Courteeners,Bide Your Time,St. Jude
Courteeners,Sycophant,Falcon
Courteeners,Take Over The World,Falcon
Courteeners,The Opener,Falcon
Courteeners,Cavorting,St. Jude
George Baker Selection,Little Green Bag - Single Edit,Single Hit Collection
Courteeners,Cross My Heart & Hope To Fly,Falcon
Courteeners,Are You In Love With A Notion?,ANNA
Courteeners,No You Didn't, No You Don't,St. Jude
Courteeners,What Took You So Long?,St. Jude
The Last Shadow Puppets, Alex Turner, Miles Kane,My Mistakes Were Made For You,The Age Of The Understatement
Oasis,Stay Young - Remastered,Be Here Now
Def Leppard,Armageddon It - Remastered 2017,The Story So Far: The Best Of Def Leppard
Def Leppard,Pour Some Sugar On Me - Remastered 2017,Hysteria (Super Deluxe)
Wheatus,Teenage Dirtbag,Wheatus
The Seahorses,Love Is The Law,Do It Yourself
Primal Scream,Movin' on Up,Screamadelica
Inspiral Carpets,This Is How It Feels,Life (Extended Edition)
Happy Mondays,Step On - 2007 Remaster,Pills 'N' Thrills And Bellyaches (Collector's Edition)
James,Seven,Seven
The Mock Turtles,Can You Dig It?,Can You Dig It?: The Best Of The Mock Turtles
The Smiths,This Charming Man - 2011 Remaster,The Smiths
The Smiths,There Is a Light That Never Goes Out - 2011 Remaster,The Queen Is Dead
The Smiths,Panic - 2011 Remaster,Louder Than Bombs
The Smiths,Ask - 2011 Remaster,Louder Than Bombs
The Libertines,What A Waster,What A Waster
The Dandy Warhols,Bohemian Like You,Thirteen Tales From Urban Bohemia
Bloc Party,Helicopter,Silent Alarm
The Fratellis,Chelsea Dagger,Xbox Soundtracks Presents...Start
Kula Shaker,Hey Dude,Kollected - The Best Of Kula Shaker
James,Sound - Full Version,Seven
Snow Patrol,Spitting Games,Final Straw
Snow Patrol,Hands Open,Eyes Open
Courteeners,You Overdid It Doll,Falcon
The Stone Roses,Elephant Stone - Remastered,The Stone Roses (20th Anniversary Collector's Edition)
Courteeners,Not Nineteen Forever,St. Jude
Courteeners,Fallowfield Hillbilly,St. Jude
The Vaccines,Teenage Icon,Come of Age (Deluxe Version)
The Vaccines,Wreckin' Bar (Ra Ra Ra),What Did You Expect from the Vaccines?
The Vaccines,If You Wanna,What Did You Expect from the Vaccines?
The Vaccines,Wetsuit,What Did You Expect from the Vaccines?
The Vaccines,Norgaard,What Did You Expect from the Vaccines?
Mott The Hoople,All the Young Dudes,All The Young Dudes (Expanded Edition)
The Vaccines,Handsome,English Graffiti (Deluxe)
The Vaccines, Dave Fridmann,20/20,English Graffiti (Deluxe)
The Vaccines,Dream Lover,English Graffiti (Deluxe)
Noel Gallagher's High Flying Birds,The Dying of the Light,Chasing Yesterday
Kasabian,Club Foot,Kasabian
Jake Bugg,Simple As This,Jake Bugg
The Smiths,Bigmouth Strikes Again - 2011 Remaster,The Queen Is Dead
The Libertines,Don't Look Back into the Sun,Don't Look Back into the Sun
Gomez,Whippin' Piccadilly,Bring It On - 10th Anniversary Collector's Edition
Courteeners,Small Bones,Concrete Love
The Strokes,12:51,Room On Fire
Courteeners,Yesterday, Today & Probably Tomorrow,St. Jude
Elbow,Grounds for Divorce,The Seldom Seen Kid
Gossip,Standing In the Way of Control,Standing in the Way of Control
Razorlight,Before I Fall To Pieces,Razorlight
